Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,A Little,A Little,A Little,None,A Little,A Little,A Little
Occasionally,Often,Occasionally,Very Often,Occasionally,Occasionally,Never,Never,Never,Very Often,Very Often,Never,Rarely,Never,Rarely,Rarely,Occasionally,A Little,Some,Some,None,Some,Some,A Little
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Often,A Little,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,None,None,A Little,None,A Little,A Little,None
Occasionally,Often,Often,Often,Occasionally,Often,Rarely,Often,Often,Very Often,Occasionally,Rarely,Occasionally,Rarely,Rarely,Often,Often,Some,A Little,A Little,A Little,Some,Some,A Lot
Occasionally,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Occasionally,Occasionally,Never,Never,Rarely,Never,Never,Rarely,None,None,A Little,None,None,A Little,None
Never,Rarely,Occasionally,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Occasionally,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,None,None,None,None,None,None,None
Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Never,Never,A Little,Some,A Little,None,A Little,Some,A Little
Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Often,Occasionally,Occasionally,Rarely,Some,Some,Some,A Little,Some,Some,Some
Rarely,Occasionally,Never,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Occasionally,Occasionally,Often,Rarely,Occasionally,Never,A Lot,A Lot,Some,A Lot,Some,Some,Some
Rarely,Occasionally,Never,Rarely,Often,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,None,A Little,A Little,A Little,A Little,A Little,None
Rarely,Rarely,Never,Occasionally,Never,Never,Never,Never,Rarely,Often,Rarely,Never,Rarely,Never,Rarely,Never,Never,None,None,None,None,A Little,A Little,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,A Little,None,None,None,A Little,A Little,None
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,A Little,A Little,None,None,A Little,A Little,None
Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Rarely,Occasionally,Never,Never,A Little,None,A Little,None,A Little,A Little,None
Occasionally,Rarely,Rarely,Rarely,Often,Rarely,Occasionally,Never,Often,Occasionally,Often,Never,Never,Rarely,Occasionally,Rarely,Never,A Little,None,A Little,None,A Little,A Little,A Little
Never,Never,Never,Rarely,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,A Little,A Little,None
Occasionally,Occasionally,Rarely,Rarely,Often,Occasionally,Occasionally,Rarely,Often,Occasionally,Often,Never,Rarely,Often,Very Often,Often,Never,Some,Some,Some,None,Some,A Lot,A Little
Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Rarely,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Some,Some,Some,A Little,Some,Some,A Little
Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Very Often,Rarely,Often,Occasionally,Often,Often,Rarely,Often,Very Often,Very Often,Very Often,Rarely,Very Often,Occasionally,Rarely,Never,Some,Some,Some,A Little,Some,Some,A Little
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,A Little,None
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Never,Occasionally,Rarely,Never,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,Rarely,Often,Occasionally,Rarely,Never,None,None,A Little,None,None,A Little,A Little
Occasionally,Rarely,Rarely,Very Often,Often,Occasionally,Occasionally,Often,Very Often,Occasionally,Occasionally,Never,Never,Rarely,Rarely,Often,Occasionally,A Little,Some,A Little,A Little,Some,Some,Some
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Rarely,None,A Little,None,None,None,A Little,None
Occasionally,Rarely,Never,Often,Occasionally,Never,Rarely,Rarely,Never,Occasionally,Occasionally,Never,Never,Never,Often,Never,Never,A Little,None,None,None,A Little,A Little,None
Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Never,Often,Occasionally,Rarely,Never,Never,Rarely,Very Often,Never,Never,A Little,None,None,None,None,A Little,A Little
Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Occasionally,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Occasionally,Often,Often,Occasionally,Occasionally,Rarely,Occasionally,Often,Occasionally,Occasionally,Often,Rarely,Occasionally,Occasionally,Rarely,A Little,A Little,None,A Little,Some,Some,None
Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,Some,None,None,A Little,None,None
Rarely,Occasionally,Never,Often,Often,Occasionally,Often,Occasionally,Very Often,Very Often,Very Often,Rarely,Never,Never,Occasionally,Occasionally,Never,None,A Little,A Little,None,A Little,Some,Some
Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Often,Rarely,Never,Never,Never,Never,Never,Never,None,None,A Little,None,None,A Little,None
Often,Occasionally,Occasionally,Often,Often,Never,Occasionally,Often,Often,Very Often,Often,Never,Never,Rarely,Often,Often,Occasionally,A Lot,None,Some,Some,A Lot,A Lot,None
Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,None,A Little,A Little,A Little,A Little,A Little
Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,A Little,None,None,A Little,A Little,None
Occasionally,Often,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Often,Rarely,Rarely,Rarely,Rarely,Occasionally,Often,Occasionally,A Little,A Lot,A Little,A Little,A Little,A Little,Some
Often,Rarely,Never,Often,Occasionally,Never,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Often,Occasionally,Occasionally,Occasionally,Some,Some,Some,A Little,Some,Some,Some
Rarely,Rarely,Never,Occasionally,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,A Little,A Little,A Little,None,None,None,A Little
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,None,None,A Little,None,A Little,A Little,A Little
Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,None,None
Rarely,Never,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Occasionally,Never,Never,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Occasionally,Never,Never,Occasionally,Often,Occasionally,Never,Never,Often,Very Often,Often,Never,Rarely,Often,Often,Rarely,Never,A Little,A Lot,A Lot,None,A Lot,A Lot,Some
Rarely,Never,Never,Never,Often,Rarely,Never,Occasionally,Never,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Rarely,Occasionally,Often,Occasionally,Occasionally,Occasionally,Rarely,Very Often,Rarely,Rarely,Occasionally,Occasionally,Often,Often,Occasionally,A Little,A Lot,Some,A Little,A Lot,Some,A Little
Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Occasionally,Rarely,Rarely,Never,Never,Occasionally,Never,Never,Never,Often,Never,Never,Never,Never,Rarely,Never,Never,None,A Little,None,None,None,A Little,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Never,Never,Often,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Rarely,Often,Often,Rarely,Never,Never,Occasionally,Rarely,Never,Never,A Little,A Little,None,None,A Little,A Little,A Little
Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Often,Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,None,None,A Little,None,None,None,None
Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,None,A Little,None,None,A Little,A Little,None
Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Occasionally,Rarely,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Rarely,Occasionally,Rarely,Never,Never,None,A Little,None,None,A Little,A Little,None
Rarely,Rarely,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Never,Rarely,None,A Little,None,None,A Little,A Little,A Little
Rarely,Rarely,Rarely,Never,Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,A Little,A Little
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Often,Occasionally,Occasionally,Occasionally,Very Often,Rarely,Often,Occasionally,Very Often,Often,Often,Occasionally,Rarely,Often,Often,Very Often,Very Often,A Lot,Some,A Lot,A Little,Some,A Lot,Some
Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Rarely,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Never,A Little,A Little,A Little,None,A Little,A Little,None
Rarely,Occasionally,Occasionally,Often,Often,Occasionally,Often,Occasionally,Often,Occasionally,Often,Often,Rarely,Rarely,Rarely,Often,Often,Some,Some,Some,None,Some,A Lot,Some
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Occasionally,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Never,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,None,A Little,A Little,None,None,A Little,None
Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Never,Never,Never,Rarely,Never,Rarely,Never,None,None,None,None,None,None,None
Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,None,A Little,A Little,None
Occasionally,Often,Often,Rarely,Often,Rarely,Rarely,Occasionally,Rarely,Very Often,Often,Often,Rarely,Never,Often,Often,Occasionally,A Little,A Little,None,None,A Little,A Little,None
Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Very Often,Often,Occasionally,Rarely,Very Often,Occasionally,Occasionally,Never,Some,Some,A Lot,A Little,A Lot,A Lot,None
Rarely,Never,Never,Never,Rarely,Never,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Never,Rarely,Never,Rarely,Never,Occasionally,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Occasionally,Some,Some,Some,Some,Some,Some,Some
Rarely,Never,Never,Rarely,Never,Rarely,Occasionally,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Often,Occasionally,Occasionally,Rarely,A Little,A Little,A Little,None,A Little,A Little,A Little
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Occasionally,Never,Never,Occasionally,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
