Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
Occasionally,Never,Never,Often,Often,Never,Never,Never,Often,Often,Occasionally,Never,Never,Never,Rarely,Never,Never,None,None,None,None,A Little,A Little,Some
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Never,Occasionally,Rarely,Never,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Rarely,Occasionally,A Little,A Little,A Little,None,A Little,Some,None
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Never,Often,Occasionally,Often,A Little,A Little,A Little,None,Some,Some,Some
Rarely,Often,Very Often,Often,Rarely,Never,Rarely,Occasionally,Often,Very Often,Often,Never,Never,Never,Very Often,Occasionally,Rarely,A Little,A Little,A Little,None,A Lot,A Lot,None
Never,Never,Never,Occasionally,Occasionally,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Never,Occasionally,Rarely,Occasionally,Rarely,None,A Little,None,None,None,A Little,None
Rarely,Rarely,Rarely,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Never,Occasionally,Rarely,None,None,A Little,None,A Little,A Little,Some
Occasionally,Rarely,Very Often,Occasionally,Very Often,Occasionally,Very Often,Rarely,Often,Occasionally,Often,Never,Never,Often,Occasionally,Occasionally,Rarely,A Little,A Little,Some,None,A Little,Some,Some
Rarely,Occasionally,Occasionally,Often,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Very Often,Never,A Little,Some,Some,A Lot,Some,A Little,A Little
Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,None,None,A Little,None,A Little,A Little,None
Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Rarely,Never,Never,Rarely,Occasionally,Rarely,Never,None,A Little,None,None,A Little,A Little,A Little
Occasionally,Occasionally,Rarely,Often,Often,Occasionally,Often,Often,Often,Very Often,Very Often,Occasionally,Rarely,Often,Often,Occasionally,Never,Some,Some,Some,Some,Some,Some,Some
Rarely,Often,Rarely,Often,Often,Very Often,Rarely,Rarely,Occasionally,Often,Often,Rarely,Occasionally,Often,Often,Rarely,Occasionally,A Little,Some,A Little,None,Some,Some,A Little
Never,Never,Very Often,Very Often,Often,Never,Never,Never,Rarely,Very Often,Never,Never,Rarely,Never,Never,Rarely,Occasionally,None,A Little,None,None,Some,A Lot,A Little
Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Rarely,Occasionally,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Often,Rarely,Never,Often,Occasionally,Never,Occasionally,Rarely,Occasionally,Often,Rarely,Rarely,Rarely,Occasionally,Often,Rarely,Occasionally,A Little,A Little,Some,None,A Little,A Little,A Little
Occasionally,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,Never,Often,Often,Occasionally,Never,Never,Occasionally,Often,Rarely,Never,A Little,Some,Some,Some,Some,Some,Some
,,,,,,,,,,,,,,,,,,,,,,,
Never,Occasionally,Occasionally,Rarely,Often,Often,Rarely,Rarely,Never,Occasionally,Rarely,Rarely,Never,Occasionally,Occasionally,Occasionally,Rarely,Some,Some,None,None,A Little,None,A Little
Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Never,Rarely,Often,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Occasionally,Often,Rarely,Often,Often,Rarely,Occasionally,Rarely,Often,Very Often,Very Often,Occasionally,Often,Very Often,Very Often,Often,Often,Some,Some,A Lot,Some,Some,A Lot,Some
Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,A Little,A Little,None,None,A Little,A Little,None
Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Never,Never,Very Often,Often,Occasionally,Rarely,Often,Often,Often,Occasionally,A Little,A Little,A Little,None,Some,Some,A Little
Rarely,Occasionally,Rarely,Often,Never,Never,Never,Rarely,Occasionally,Very Often,Occasionally,Rarely,Never,Rarely,Rarely,Rarely,Never,Some,Some,Some,None,A Little,A Little,A Little
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,None,None,A Little,A Little,A Little,A Little,A Little
Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Occasionally,Rarely,Occasionally,Rarely,A Little,Some,None,None,A Little,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,None,A Little,None,None,None,None,None
Occasionally,Often,Rarely,Occasionally,Very Often,Very Often,Occasionally,Often,Occasionally,Very Often,Very Often,Very Often,Rarely,Often,Occasionally,Very Often,Occasionally,Some,A Little,A Great Deal,A Little,A Lot,A Lot,Some
Rarely,Occasionally,Rarely,Rarely,Occasionally,Rarely,Never,Never,Never,Rarely,Occasionally,Never,Never,Occasionally,Rarely,Rarely,Rarely,None,A Little,A Little,None,A Little,A Little,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Occasionally,Often,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,None,A Little,None,None,A Little,A Little,A Little
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Occasionally,Never,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Rarely,Occasionally,Never,Never,Never,Never,Never,Never,A Little,Some,A Little,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Rarely,Never,None,None,None,None,None,None,None
Occasionally,Never,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,Never,Often,Occasionally,Never,Never,Never,Never,Never,Never,A Little,A Little,A Little,None,Some,Some,None
Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Occasionally,Rarely,Never,Rarely,Occasionally,Rarely,Rarely,Never,None,A Little,A Little,None,A Little,A Little,A Little
Occasionally,Rarely,Rarely,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Occasionally,Rarely,Rarely,Rarely,A Little,A Little,None,None,A Little,Some,A Little
Never,Never,Rarely,Rarely,Occasionally,Never,Occasionally,Occasionally,Very Often,Often,Occasionally,Never,Never,Occasionally,Never,Often,Rarely,None,None,None,None,None,None,None
Rarely,Never,Never,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Rarely,Occasionally,Rarely,Never,None,None,None,None,A Little,None,None
Occasionally,Never,Never,Never,Occasionally,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,A Little,A Little,A Little,None,A Little,A Little,None
Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Occasionally,Occasionally,Never,Occasionally,Rarely,Never,Rarely,Never,Occasionally,Often,Occasionally,Never,Never,Never,Rarely,Rarely,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Never,Never,Never,Rarely,Never,Never,Never,A Little,A Little,A Little,None,A Little,A Little,None
Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,A Little,A Little,A Little,None,A Little,A Little,A Little
Never,Rarely,Never,Occasionally,Occasionally,Rarely,Never,Rarely,Rarely,Very Often,Rarely,Never,Occasionally,Rarely,Rarely,Never,Never,A Little,A Little,None,None,A Little,A Little,None
Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Occasionally,Occasionally,Never,Rarely,Never,None,None,None,None,None,A Little,None
Occasionally,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Often,Occasionally,Never,Never,Never,Rarely,Often,Never,None,None,A Little,None,A Little,A Little,None
Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Often,Often,Often,Occasionally,Some,Some,Some,None,Some,A Lot,Some
Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Rarely,Never,Never,A Little,None,None,None,None,None,None
Rarely,Occasionally,Rarely,Occasionally,Often,Occasionally,Often,Rarely,Often,Often,Often,Rarely,Never,Rarely,Often,Occasionally,Rarely,A Little,A Little,None,None,A Little,A Little,Some
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Often,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,A Little,None,None,None,None,Some,A Little
Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,None,A Little,None,None,None,A Little,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Rarely,Occasionally,Often,Often,Often,Occasionally,Rarely,Occasionally,Very Often,Very Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Often,Never,A Little,A Little,A Little,A Lot,A Lot,Some,Some
Occasionally,Occasionally,Occasionally,Never,Rarely,Rarely,Rarely,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Never,Never,Never,None,Some,A Little,None,A Little,A Little,Some
Never,Occasionally,Rarely,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Often,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Some,Some,Some,Some,Some,Some,Some
Often,Occasionally,Never,Very Often,Often,Occasionally,Often,Often,Often,Rarely,Often,Very Often,Never,Very Often,Often,Never,Never,Some,A Lot,A Little,None,A Lot,Some,A Little
Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,None,None,None,None,None,None,None
Often,Rarely,Occasionally,Occasionally,Often,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,A Little,A Little,Some,None,A Little,Some,A Little
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Never,None,None,None,None,None,A Little,A Little
Occasionally,Occasionally,Occasionally,Often,Often,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,None,None,None,None,None,A Little,None
Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Never,Rarely,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Often,Rarely,Occasionally,Often,Often,Rarely,Occasionally,Never,Often,Often,Often,Rarely,Occasionally,Never,Rarely,Occasionally,Never,Some,Some,A Little,None,A Little,Some,Some
Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,A Little,A Little,A Little,None,A Little,A Little,Some
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Occasionally,Never,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Never,Rarely,Rarely,Often,Rarely,Rarely,None,A Little,A Little,A Little,Some,Some,A Little
Never,Never,Never,Rarely,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,A Little,None,None
Rarely,Rarely,Occasionally,Occasionally,Very Often,Rarely,Very Often,Rarely,Often,Very Often,Occasionally,Never,Never,Rarely,Never,Never,Occasionally,A Little,A Little,A Little,A Little,Some,Some,Some
Occasionally,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Rarely,Never,A Little,A Little,None,None,A Little,A Little,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Often,Occasionally,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,Some,Some,A Lot,A Lot,Some,Some,Some
Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Often,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Never,Rarely,Rarely,Rarely,Some,Some,A Little,A Little,Some,Some,Some
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
